   ,nama_model,brand,tahun,CC,Transmisi,Jumlah penumpang
",Suzuki Shogun 125 Sport Fi,Suzuki,2008,125,""4-speed, semi-otomatis (kopling otomatis)"",2"
",Suzuki Shogun 125 Axelo,Suzuki,2012,125,""4-speed, semi-otomatis (kopling otomatis)"",2"
",Suzuki Shogun 125 Axelo Sport,Suzuki,2012,125,""4-speed, semi-otomatis (kopling otomatis)"",2"
",Suzuki Satria 120 S,Suzuki,1997,120,""Semi-otomatis, 5-percepatan (kopling sentrifugal) "",2"
",Suzuki Satria 120 R (120RU),Suzuki,1998,120,""Manual, 6-percepatan (kopling manual)"",2"
",Suzuki Satria 120 R LSCM (Satria Hiu),Suzuki,2003,120,""Manual, 6-percepatan (kopling manual)"",2"
",Suzuki Satria 125,Suzuki,2005,125,""Manual, 5-percepatan (kopling manual)"",2"
",Suzuki Satria FU150 CBU,Suzuki,2004,147.3,""Manual, 6-percepatan "",2"
",Suzuki Satria FU150 CKD,Suzuki,2006,147.3,""Manual, 6-percepatan "",2"
",New Suzuki Satria F150,Suzuki,2013,147.3,""Manual, 6-percepatan"",2"
",New Suzuki Satria F150 Euro 3,Suzuki,2015,147.3,""Manual, 6-percepatan"",2"
",All New Suzuki Satria F150 FI,Suzuki,2016,147.3,""Manual, 6-percepatan"",2"
,Suzuki Address FI,Suzuki,2014,113,Matic (CVT),2
,Suzuki Address FI Elegant,Suzuki,2014,113,Matic (CVT),2
,Suzuki Address FI Elegant LG,Suzuki,2014,113,Matic (CVT),2
,Suzuki Address FI 2017,Suzuki,2017,113,Matic (CVT),2
,Suzuki Address FI Playful 2017,Suzuki,2017,113,Matic (CVT),2
,Suzuki Address FI Predator 2017,Suzuki,2017,113,Matic (CVT),2
,Suzuki Address FI 2021,Suzuki,2021,113,Matic (CVT),2
,Suzuki Address FI Playful 2021,Suzuki,2021,113,Matic (CVT),2
,Suzuki Address FI Predator 2021,Suzuki,2021,113,Matic (CVT),2
,Suzuki Nex 110,Suzuki,2011,113,Matic (CVT),2
,Suzuki Nex Super FI,Suzuki,2013,113,Matic (CVT),2
,Suzuki Nex II,Suzuki,2018,113,Matic (CVT),2
,Suzuki Nex II Elegant,Suzuki,2018,113,Matic (CVT),2
,Suzuki Nex II Elegant Premium,Suzuki,2018,113,Matic (CVT),2
,Suzuki Nex II Fancy Dynamic,Suzuki,2018,113,Matic (CVT),2
,Suzuki Nex II Sporty Runner,Suzuki,2018,113,Matic (CVT),2
,Suzuki Let's 110 FI,Suzuki,2012,113,Matic (CVT),2
,Suzuki SkyWave 125,Suzuki,2007,124,Matic (CVT),2
,Suzuki SkyWave 125 NR,Suzuki,2007,124,Matic (CVT),2
,Suzuki SkyDrive 125,Suzuki,2009,124,Matic (CVT),2
,Suzuki Burgman Street 125EX,Suzuki,2023,124,Matic (CVT),2
",GSX-R150,Suzuki,2017,147.3,""Manual, 6-speed"",2"
",GSX-R150 Keyless Ignition,Suzuki,2017,147.3,""Manual, 6-speed"",2"
",GSX-R150 ABS,Suzuki,2018,147.3,""Manual, 6-speed"",2"
",GSX-S150,Suzuki,2016,147.3,""Manual, 6-speed"",2"
",GSX-150 Bandit,Suzuki,2018,147.3,""Manual, 6-speed"",2"
,Suzuki Hayate 125,Suzuki,2011,124,Matic (CVT),2
",Suzuki Thunder 250,Suzuki,1999,249,""Manual, 5-speed"",2"
",Suzuki Thunder 125,Suzuki,2004,124,""Manual, 5-speed"",2"
",Suzuki Thunder 125 2006,Suzuki,2006,124,""Manual, 5-speed"",2"
",Suzuki Thunder 125 2007,Suzuki,2007,124,""Manual, 5-speed"",2"
",Suzuki Thunder 125 2011,Suzuki,2011,124,""Manual, 5-speed"",2"
",Suzuki Inazuma 250,Suzuki,2012,248,""Manual, 6-speed"",2"
",Suzuki Gixxer SF 250,Suzuki,2022,249,""Manual, 6-speed"",2"
",Suzuki V-Strom 250 SX,Suzuki,2022,249,""Manual, 6-speed"",2"
",Suzuki V-Strom 650,Suzuki,2012,645,""Manual, 6-speed"",2"
",Suzuki V-Strom 650 XT,Suzuki,2017,645,""Manual, 6-speed"",2"
,Suzuki Avenis 125,Suzuki,2022,124,Matic (CVT),2
",Ducati Desert X,Ducati,2025,937,""Manual, 6-speed"",2"
",Ducati SuperSport 950,Ducati,2025,937,""Manual, 6-speed"",2"
",Ducati Streetfighter V4,Ducati,2025,1103,""Manual, 6-speed"",2"
",Ducati XDiavel,Ducati,2025,1262,""Manual, 6-speed"",2"
",Ducati Diavel,Ducati,2025,1262,""Manual, 6-speed"",2"
",Ducati Multistrada 1260 Enduro,Ducati,2025,1262,""Manual, 6-speed"",2"
",Ducati Hypermotard 950,Ducati,2025,937,""Manual, 6-speed"",2"
",Ducati Monster 797,Ducati,2025,803,""Manual, 6-speed"",2"
",Ducati Monster 821 Dark,Ducati,2025,821,""Manual, 6-speed"",2"
",Ducati Monster 821 ,Ducati,2025,821,""Manual, 6-speed"",2"
",Ducati Monster 821 Stealth,Ducati,2025,821,""Manual, 6-speed"",2"
",Ducati Panigale 959,Ducati,2025,955,""Manual, 6-speed"",2"
",Ducati Panigale R,Ducati,2025,1198,""Manual, 6-speed"",2"
",Ducati Multistrada 950,Ducati,2025,937,""Manual, 6-speed"",2"
",Ducati Panigale V4 Standard,Ducati,2025,1103,""Manual, 6-speed"","
